Period,Account,Amount
2022-11,9100.03,865.21
2022-11,9100.04,396.36
2022-11,9100.05,1428.64
2022-12,5100.01,347878.89
2022-12,5100.02,230490.72
2022-12,5100.03,174313.03
2022-12,5100.04,200579.18
2022-12,5100.05,135407.28
2022-12,5100.06,103399.09
2022-12,5100.07,65225.92
2022-12,5100.08,27930.64
2022-12,5200.01,22255.5
2022-12,5200.02,7283.8
2022-12,5200.03,11368.0
2022-12,5300.01,124058.18
2022-12,5300.02,46890.89
2022-12,5300.03,24644.16
2022-12,5400.01,33739.1
2022-12,5400.02,22430.67
2022-12,5400.03,27428.07
2022-12,5400.04,6771.88
2022-12,6100.01,101138.69
2022-12,6100.02,20404.81
2022-12,6100.03,39364.21
2022-12,6100.04,87865.98
2022-12,6100.05,9594.39
2022-12,6100.06,66524.26
2022-12,6100.07,12616.36
2022-12,7100.01,143033.96
2022-12,7100.02,22637.87
2022-12,7100.03,118132.36
2022-12,7100.04,67218.95
2022-12,7100.05,63398.83
2022-12,7100.06,14511.47
2022-12,7100.07,28487.5
2022-12,7100.08,44252.86
2022-12,7100.09,57305.9
2022-12,7100.10,30275.81
2022-12,8100.01,67301.19
2022-12,8100.02,32434.58
2022-12,8100.03,24512.96
2022-12,8100.04,19399.3
2022-12,8100.05,34492.53
2022-12,8100.06,14169.48
2022-12,8100.07,10986.23
2022-12,8100.08,9411.66
2022-12,9100.01,2173.88
2022-12,9100.02,555.09
2022-12,9100.03,833.02
2022-12,9100.04,348.01
2022-12,9100.05,1224.96
2023-01,5100.01,430816.27
2023-01,5100.02,294629.99
2023-01,5100.03,229121.45
2023-01,5100.04,246894.12
2023-01,5100.05,166345.42
2023-01,5100.06,131241.88
2023-01,5100.07,84089.07
2023-01,5100.08,35214.85
2023-01,5200.01,27238.01
2023-01,5200.02,9283.2
2023-01,5200.03,13634.97
2023-01,5300.01,140701.99
2023-01,5300.02,51493.94
2023-01,5300.03,27900.34
2023-01,5400.01,44183.05
2023-01,5400.02,31119.65
2023-01,5400.03,36144.56
2023-01,5400.04,9298.72
2023-01,6100.01,158781.62
2023-01,6100.02,28952.03
2023-01,6100.03,53303.51
2023-01,6100.04,129972.91
2023-01,6100.05,14029.82
2023-01,6100.06,95265.07
2023-01,6100.07,18709.45
2023-01,7100.01,181928.25
2023-01,7100.02,29992.67
2023-01,7100.03,176815.85
2023-01,7100.04,110696.91
2023-01,7100.05,80638.47
2023-01,7100.06,21161.66
2023-01,7100.07,38357.09
2023-01,7100.08,67665.52
2023-01,7100.09,82979.59
2023-01,7100.10,47657.29
2023-01,8100.01,105235.1
2023-01,8100.02,47000.1
2023-01,8100.03,38308.76
2023-01,8100.04,28486.32
2023-01,8100.05,47978.58
2023-01,8100.06,20483.96
2023-01,8100.07,16913.06
2023-01,8100.08,13418.08
2023-01,9100.01,3623.55
2023-01,9100.02,845.18
2023-01,9100.03,1140.8
2023-01,9100.04,493.43
2023-01,9100.05,2030.39
2023-02,5100.01,413947.01
2023-02,5100.02,289518.44
2023-02,5100.03,215252.44
2023-02,5100.04,253768.69
2023-02,5100.05,169226.25
2023-02,5100.06,125436.73
2023-02,5100.07,84058.46
2023-02,5100.08,34665.91
2023-02,5200.01,31367.4
2023-02,5200.02,10145.78
2023-02,5200.03,15277.62
2023-02,5300.01,147611.54
2023-02,5300.02,55143.23
2023-02,5300.03,29380.53
2023-02,5400.01,40650.72
2023-02,5400.02,29242.33
2023-02,5400.03,34930.67
2023-02,5400.04,8689.61
2023-02,6100.01,162104.11
2023-02,6100.02,30821.98
2023-02,6100.03,57738.44
2023-02,6100.04,135426.24
2023-02,6100.05,12797.68
2023-02,6100.06,97069.37
2023-02,6100.07,18536.26
2023-02,7100.01,179611.99
2023-02,7100.02,28824.02
2023-02,7100.03,181736.88
2023-02,7100.04,107468.27
2023-02,7100.05,79611.8
2023-02,7100.06,21300.93
2023-02,7100.07,40831.14
2023-02,7100.08,74613.53
2023-02,7100.09,78262.24
2023-02,7100.10,47187.76
2023-02,8100.01,105701.47
2023-02,8100.02,43831.12
2023-02,8100.03,36228.64
2023-02,8100.04,27621.85
2023-02,8100.05,53576.83
2023-02,8100.06,19430.28
2023-02,8100.07,17153.26
2023-02,8100.08,14635.06
2023-02,9100.01,3624.19
2023-02,9100.02,809.31
2023-02,9100.03,1122.85
2023-02,9100.04,521.45
2023-02,9100.05,2087.92
2023-03,5100.01,441102.9
2023-03,5100.02,300387.75
2023-03,5100.03,227491.65
2023-03,5100.04,263529.96
2023-03,5100.05,176190.91
2023-03,5100.06,131929.76
2023-03,5100.07,87851.03
2023-03,5100.08,37518.56
2023-03,5200.01,32251.75
2023-03,5200.02,10913.01
2023-03,5200.03,16079.57
2023-03,5300.01,135626.12
2023-03,5300.02,52175.07
2023-03,5300.03,28266.43
2023-03,5400.01,42997.2
2023-03,5400.02,30597.87
2023-03,5400.03,37415.67
2023-03,5400.04,9263.46
2023-03,6100.01,173317.8
2023-03,6100.02,32315.39
2023-03,6100.03,60355.04
2023-03,6100.04,127471.0
2023-03,6100.05,13259.74
2023-03,6100.06,98536.72
2023-03,6100.07,19115.09
2023-03,7100.01,186707.06
2023-03,7100.02,32660.28
2023-03,7100.03,181338.37
2023-03,7100.04,104569.71
2023-03,7100.05,82756.64
2023-03,7100.06,23083.55
2023-03,7100.07,44702.85
2023-03,7100.08,70175.5
2023-03,7100.09,90551.2
2023-03,7100.10,50832.54
2023-03,8100.01,106354.26
2023-03,8100.02,44763.36
2023-03,8100.03,36174.33
2023-03,8100.04,29028.14
2023-03,8100.05,49959.97
2023-03,8100.06,20992.53
2023-03,8100.07,17180.58
2023-03,8100.08,13646.79
2023-03,9100.01,3391.32
2023-03,9100.02,851.22
2023-03,9100.03,1248.0
2023-03,9100.04,488.07
2023-03,9100.05,2100.35
2023-04,5100.01,438783.78
2023-04,5100.02,319367.29
2023-04,5100.03,227825.61
2023-04,5100.04,271629.13
2023-04,5100.05,179719.62
2023-04,5100.06,139270.87
2023-04,5100.07,89875.33
2023-04,5100.08,37616.84
2023-04,5200.01,27992.09
2023-04,5200.02,9659.36
2023-04,5200.03,14501.44
2023-04,5300.01,142674.97
2023-04,5300.02,54728.5
2023-04,5300.03,30721.65
2023-04,5400.01,44693.94
2023-04,5400.02,32259.78
2023-04,5400.03,38780.39
2023-04,5400.04,9411.71
2023-04,6100.01,166171.83
2023-04,6100.02,30391.1
2023-04,6100.03,57362.32
2023-04,6100.04,136480.78
2023-04,6100.05,15067.91
2023-04,6100.06,109097.84
2023-04,6100.07,20602.92
2023-04,7100.01,190547.03
2023-04,7100.02,35129.47
2023-04,7100.03,186148.6
2023-04,7100.04,110702.9
2023-04,7100.05,84458.68
2023-04,7100.06,23584.55
2023-04,7100.07,43581.97
2023-04,7100.08,75385.57
2023-04,7100.09,91416.84
2023-04,7100.10,53111.89
2023-04,8100.01,104586.82
2023-04,8100.02,46887.58
2023-04,8100.03,40283.25
2023-04,8100.04,27395.16
2023-04,8100.05,50763.76
2023-04,8100.06,20645.32
2023-04,8100.07,18175.44
2023-04,8100.08,14254.83
2023-04,9100.01,3637.59
2023-04,9100.02,775.22
2023-04,9100.03,1252.59
2023-04,9100.04,494.81
2023-04,9100.05,2004.12
2023-05,5100.01,445644.16
2023-05,5100.02,299254.6
2023-05,5100.03,222799.52
2023-05,5100.04,256324.67
2023-05,5100.05,168066.64
2023-05,5100.06,136309.34
2023-05,5100.07,86959.67
2023-05,5100.08,36892.09
2023-05,5200.01,28874.19
2023-05,5200.02,9689.93
2023-05,5200.03,14348.56
2023-05,5300.01,144539.55
2023-05,5300.02,52711.68
2023-05,5300.03,28962.96
2023-05,5400.01,42425.3
2023-05,5400.02,29394.99
2023-05,5400.03,36247.17
2023-05,5400.04,9101.96
2023-05,6100.01,161607.99
2023-05,6100.02,30033.39
2023-05,6100.03,55639.9
2023-05,6100.04,124546.3
2023-05,6100.05,13679.27
2023-05,6100.06,98173.62
2023-05,6100.07,18218.46
2023-05,7100.01,185758.48
2023-05,7100.02,33430.1
2023-05,7100.03,176574.95
2023-05,7100.04,113808.1
2023-05,7100.05,82336.19
2023-05,7100.06,23234.25
2023-05,7100.07,45418.67
2023-05,7100.08,66613.41
2023-05,7100.09,87655.47
2023-05,7100.10,47777.81
2023-05,8100.01,112253.89
2023-05,8100.02,49073.6
2023-05,8100.03,38895.3
2023-05,8100.04,30179.08
2023-05,8100.05,53738.25
2023-05,8100.06,19506.65
2023-05,8100.07,19276.59
2023-05,8100.08,15058.26
2023-05,9100.01,3450.18
2023-05,9100.02,808.45
2023-05,9100.03,1163.05
2023-05,9100.04,535.09
2023-05,9100.05,2111.7
2023-06,5100.01,442458.96
2023-06,5100.02,315163.13
2023-06,5100.03,229719.2
2023-06,5100.04,255252.77
2023-06,5100.05,179137.82
2023-06,5100.06,132099.28
2023-06,5100.07,87551.37
2023-06,5100.08,38005.41
2023-06,5200.01,31668.05
2023-06,5200.02,11086.14
2023-06,5200.03,16222.97
2023-06,5300.01,132343.84
2023-06,5300.02,49807.34
2023-06,5300.03,28556.52
2023-06,5400.01,43795.66
2023-06,5400.02,30725.54
2023-06,5400.03,35940.08
2023-06,5400.04,8898.24
2023-06,6100.01,163718.49
2023-06,6100.02,33602.88
2023-06,6100.03,63486.52
2023-06,6100.04,138044.73
2023-06,6100.05,14573.26
2023-06,6100.06,108865.97
2023-06,6100.07,20088.22
2023-06,7100.01,188162.87
2023-06,7100.02,30744.01
2023-06,7100.03,176830.69
2023-06,7100.04,103919.63
2023-06,7100.05,83401.92
2023-06,7100.06,20899.38
2023-06,7100.07,39671.53
2023-06,7100.08,76678.26
2023-06,7100.09,87256.66
2023-06,7100.10,49406.19
2023-06,8100.01,102141.36
2023-06,8100.02,46935.36
2023-06,8100.03,37957.27
2023-06,8100.04,29072.05
2023-06,8100.05,52322.27
2023-06,8100.06,18769.55
2023-06,8100.07,18815.37
2023-06,8100.08,14318.72
2023-06,9100.01,3640.39
2023-06,9100.02,829.08
2023-06,9100.03,1270.5
2023-06,9100.04,515.51
2023-06,9100.05,2099.57
2023-07,5100.01,403703.28
2023-07,5100.02,295073.32
2023-07,5100.03,209138.11
2023-07,5100.04,248105.13
2023-07,5100.05,160666.35
2023-07,5100.06,121977.12
2023-07,5100.07,82596.26
2023-07,5100.08,34268.46
2023-07,5200.01,27641.73
2023-07,5200.02,9378.86
2023-07,5200.03,13912.17
2023-07,5300.01,140253.99
2023-07,5300.02,51344.67
2023-07,5300.03,28823.61
2023-07,5400.01,42484.38
2023-07,5400.02,29205.73
2023-07,5400.03,35939.49
2023-07,5400.04,8640.93
2023-07,6100.01,147759.33
2023-07,6100.02,30641.01
2023-07,6100.03,54543.86
2023-07,6100.04,121026.42
2023-07,6100.05,12317.11
2023-07,6100.06,96260.3
2023-07,6100.07,17208.54
2023-07,7100.01,174878.03
2023-07,7100.02,28989.92
2023-07,7100.03,147680.29
2023-07,7100.04,86824.84
2023-07,7100.05,77513.5
2023-07,7100.06,20062.02
2023-07,7100.07,37941.14
2023-07,7100.08,69281.7
2023-07,7100.09,73946.57
2023-07,7100.10,44817.52
2023-07,8100.01,100380.55
2023-07,8100.02,42028.14
2023-07,8100.03,33647.94
2023-07,8100.04,25731.73
2023-07,8100.05,46790.95
2023-07,8100.06,16986.14
2023-07,8100.07,15442.27
2023-07,8100.08,13245.68
2023-07,9100.01,2989.36
2023-07,9100.02,681.79
2023-07,9100.03,1129.29
2023-07,9100.04,474.32
2023-07,9100.05,1897.02
2023-08,5100.01,428700.34
2023-08,5100.02,298741.95
2023-08,5100.03,215523.74
2023-08,5100.04,246718.59
2023-08,5100.05,161930.53
2023-08,5100.06,122871.92
2023-08,5100.07,80018.47
2023-08,5100.08,35159.82
2023-08,5200.01,29696.91
2023-08,5200.02,9824.03
2023-08,5200.03,14555.05
2023-08,5300.01,142314.71
2023-08,5300.02,51605.93
2023-08,5300.03,29435.72
2023-08,5400.01,41825.11
2023-08,5400.02,28189.81
2023-08,5400.03,34122.79
2023-08,5400.04,8700.51
2023-08,6100.01,140402.78
2023-08,6100.02,29371.95
2023-08,6100.03,53080.19
2023-08,6100.04,115185.28
2023-08,6100.05,12306.87
2023-08,6100.06,89528.78
2023-08,6100.07,15844.53
2023-08,7100.01,176368.61
2023-08,7100.02,27804.65
2023-08,7100.03,151431.6
2023-08,7100.04,98744.94
2023-08,7100.05,78174.19
2023-08,7100.06,19721.25
2023-08,7100.07,40108.38
2023-08,7100.08,61393.29
2023-08,7100.09,79852.09
2023-08,7100.10,46100.9
2023-08,8100.01,94530.77
2023-08,8100.02,42489.94
2023-08,8100.03,33344.54
2023-08,8100.04,25568.6
2023-08,8100.05,44652.04
2023-08,8100.06,18422.56
2023-08,8100.07,17193.69
2023-08,8100.08,13407.2
2023-08,9100.01,2987.28
2023-08,9100.02,729.02
2023-08,9100.03,1045.64
2023-08,9100.04,480.83
2023-08,9100.05,1688.61
2023-09,5100.01,467659.04
2023-09,5100.02,323579.25
2023-09,5100.03,248198.13
2023-09,5100.04,274551.89
2023-09,5100.05,189257.42
2023-09,5100.06,144046.22
2023-09,5100.07,94674.73
2023-09,5100.08,40810.69
2023-09,5200.01,29239.53
2023-09,5200.02,9759.65
2023-09,5200.03,15038.32
2023-09,5300.01,142966.04
2023-09,5300.02,54588.87
2023-09,5300.03,29444.49
2023-09,5400.01,46106.85
2023-09,5400.02,33250.83
2023-09,5400.03,39835.44
2023-09,5400.04,9793.66
2023-09,6100.01,191605.65
2023-09,6100.02,38602.99
2023-09,6100.03,68698.0
2023-09,6100.04,156618.13
2023-09,6100.05,17299.58
2023-09,6100.06,127139.12
2023-09,6100.07,24004.71
2023-09,7100.01,202547.62
2023-09,7100.02,39241.96
2023-09,7100.03,199490.77
2023-09,7100.04,126741.43
2023-09,7100.05,89777.86
2023-09,7100.06,26267.43
2023-09,7100.07,47985.44
2023-09,7100.08,92937.69
2023-09,7100.09,104979.69
2023-09,7100.10,62134.42
2023-09,8100.01,131228.74
2023-09,8100.02,57655.6
2023-09,8100.03,44730.86
2023-09,8100.04,32204.35
2023-09,8100.05,62501.71
2023-09,8100.06,22402.06
2023-09,8100.07,21225.21
2023-09,8100.08,15627.35
2023-09,9100.01,4017.42
2023-09,9100.02,1026.32
2023-09,9100.03,1413.12
2023-09,9100.04,599.25
2023-09,9100.05,2391.19
2023-10,5100.01,590932.85
2023-10,5100.02,433948.86
2023-10,5100.03,310732.54
2023-10,5100.04,361972.97
2023-10,5100.05,238706.78
2023-10,5100.06,187012.58
2023-10,5100.07,121595.55
2023-10,5100.08,49714.82
2023-10,5200.01,39970.43
2023-10,5200.02,13051.99
2023-10,5200.03,20152.87
2023-10,5300.01,213583.85
2023-10,5300.02,81489.44
2023-10,5300.03,45530.42
2023-10,5400.01,66305.29
2023-10,5400.02,45878.79
2023-10,5400.03,56858.69
2023-10,5400.04,14025.87
2023-10,6100.01,216528.67
2023-10,6100.02,46958.87
2023-10,6100.03,80214.6
2023-10,6100.04,179654.37
2023-10,6100.05,19726.45
2023-10,6100.06,138633.11
2023-10,6100.07,24811.45
2023-10,7100.01,256395.89
2023-10,7100.02,41976.72
2023-10,7100.03,226125.2
2023-10,7100.04,148862.64
2023-10,7100.05,113645.75
2023-10,7100.06,29082.97
2023-10,7100.07,55292.82
2023-10,7100.08,97586.78
2023-10,7100.09,121899.36
2023-10,7100.10,62461.89
2023-10,8100.01,139243.51
2023-10,8100.02,69836.43
2023-10,8100.03,54521.07
2023-10,8100.04,38691.1
2023-10,8100.05,71823.75
2023-10,8100.06,26435.46
2023-10,8100.07,23594.51
2023-10,8100.08,20437.85
2023-10,9100.01,4480.1
2023-10,9100.02,1027.69
2023-10,9100.03,1682.66
2023-10,9100.04,655.39
2023-10,9100.05,2829.3
2023-11,5100.01,650563.92
2023-11,5100.02,466571.01
2023-11,5100.03,336676.29
2023-11,5100.04,388150.46
2023-11,5100.05,257534.62
2023-11,5100.06,207534.47
2023-11,5100.07,132070.41
2023-11,5100.08,55756.79
2023-11,5200.01,44755.06
2023-11,5200.02,15592.97
2023-11,5200.03,23309.4
2023-11,5300.01,231604.98
2023-11,5300.02,85808.04
2023-11,5300.03,48490.44
2023-11,5400.01,77998.4
2023-11,5400.02,54029.47
2023-11,5400.03,62224.23
2023-11,5400.04,16343.49
2023-11,6100.01,248174.05
2023-11,6100.02,51149.27
2023-11,6100.03,93074.05
2023-11,6100.04,188339.46
2023-11,6100.05,21916.32
2023-11,6100.06,146894.77
2023-11,6100.07,30043.06
2023-11,7100.01,282395.03
2023-11,7100.02,47617.11
2023-11,7100.03,265141.71
2023-11,7100.04,162601.55
2023-11,7100.05,125169.69
2023-11,7100.06,32130.36
2023-11,7100.07,62936.39
2023-11,7100.08,103021.87
2023-11,7100.09,123569.87
2023-11,7100.10,77485.63
2023-11,8100.01,160390.06
2023-11,8100.02,72329.8
2023-11,8100.03,54753.09
2023-11,8100.04,39980.14
2023-11,8100.05,79069.44
2023-11,8100.06,31089.7
2023-11,8100.07,25449.78
2023-11,8100.08,22341.06
2023-11,9100.01,5345.45
2023-11,9100.02,1146.44
2023-11,9100.03,1826.55
2023-11,9100.04,718.09
2023-11,9100.05,3103.46
2023-12,5100.01,608489.06
2023-12,5100.02,424224.61
2023-12,5100.03,313602.74
2023-12,5100.04,354446.87
2023-12,5100.05,234510.67
2023-12,5100.06,178753.41
2023-12,5100.07,113892.64
2023-12,5100.08,49631.13
2023-12,5200.01,40626.14
2023-12,5200.02,14040.86
2023-12,5200.03,21045.48
2023-12,5300.01,201380.72
2023-12,5300.02,76466.13
2023-12,5300.03,42650.38
2023-12,5400.01,65445.2
2023-12,5400.02,45492.91
2023-12,5400.03,52686.94
2023-12,5400.04,13330.87
2023-12,6100.01,184487.66
2023-12,6100.02,35448.04
2023-12,6100.03,70978.35
2023-12,6100.04,145229.39
2023-12,6100.05,17178.62
2023-12,6100.06,114036.51
2023-12,6100.07,20894.26
2023-12,7100.01,251878.7
2023-12,7100.02,38272.24
2023-12,7100.03,211902.49
2023-12,7100.04,123030.71
2023-12,7100.05,111643.53
2023-12,7100.06,23903.35
2023-12,7100.07,44773.27
2023-12,7100.08,85384.59
2023-12,7100.09,101324.11
2023-12,7100.10,53913.22
2023-12,8100.01,118836.66
2023-12,8100.02,52481.17
2023-12,8100.03,45043.19
2023-12,8100.04,31126.53
2023-12,8100.05,63596.51
2023-12,8100.06,22862.54
2023-12,8100.07,20383.25
2023-12,8100.08,15620.11
2023-12,9100.01,4167.53
2023-12,9100.02,963.59
2023-12,9100.03,1369.46
2023-12,9100.04,604.91
2023-12,9100.05,2308.07
2024-01,5100.01,732426.7
2024-01,5100.02,514232.85
2024-01,5100.03,375984.73
2024-01,5100.04,429507.21
2024-01,5100.05,286993.49
2024-01,5100.06,225592.9
2024-01,5100.07,146898.62
2024-01,5100.08,62587.77
2024-01,5200.01,50902.04
2024-01,5200.02,17087.92
2024-01,5200.03,25175.42
2024-01,5300.01,276534.31
2024-01,5300.02,100395.45
2024-01,5300.03,55671.82
2024-01,5400.01,82269.78
2024-01,5400.02,57192.77
2024-01,5400.03,69559.04
2024-01,5400.04,17714.68
2024-01,6100.01,278377.8
2024-01,6100.02,50967.07
2024-01,6100.03,104940.75
2024-01,6100.04,201608.38
2024-01,6100.05,22035.34
2024-01,6100.06,158856.86
2024-01,6100.07,34178.96
2024-01,7100.01,311565.75
2024-01,7100.02,53335.23
2024-01,7100.03,274168.18
2024-01,7100.04,168962.51
2024-01,7100.05,138099.41
2024-01,7100.06,34561.47
2024-01,7100.07,65502.43
2024-01,7100.08,119013.8
2024-01,7100.09,154247.77
2024-01,7100.10,82312.73
2024-01,8100.01,177428.93
2024-01,8100.02,83575.63
2024-01,8100.03,64995.37
2024-01,8100.04,50518.8
2024-01,8100.05,92062.29
2024-01,8100.06,34438.85
2024-01,8100.07,30018.5
2024-01,8100.08,22452.65
2024-01,9100.01,6042.45
2024-01,9100.02,1412.83
2024-01,9100.03,1951.77
2024-01,9100.04,779.23
2024-01,9100.05,3421.91
2024-02,5100.01,740928.35
2024-02,5100.02,505693.49
2024-02,5100.03,375093.89
2024-02,5100.04,423625.85
2024-02,5100.05,285958.98
2024-02,5100.06,216764.37
2024-02,5100.07,142266.49
2024-02,5100.08,63284.57
2024-02,5200.01,49662.28
2024-02,5200.02,16167.03
2024-02,5200.03,24312.22
2024-02,5300.01,247195.71
2024-02,5300.02,92320.26
2024-02,5300.03,51699.71
2024-02,5400.01,83792.67
2024-02,5400.02,58548.32
2024-02,5400.03,71144.47
2024-02,5400.04,18556.38
2024-02,6100.01,288153.34
2024-02,6100.02,52728.71
2024-02,6100.03,105212.22
2024-02,6100.04,211695.69
2024-02,6100.05,24045.83
2024-02,6100.06,160627.58
2024-02,6100.07,34293.7
2024-02,7100.01,312431.41
2024-02,7100.02,54689.89
2024-02,7100.03,284246.74
2024-02,7100.04,174691.15
2024-02,7100.05,138483.11
2024-02,7100.06,34814.58
2024-02,7100.07,66077.44
2024-02,7100.08,117592.06
2024-02,7100.09,153816.59
2024-02,7100.10,84992.48
2024-02,8100.01,190283.76
2024-02,8100.02,85941.52
2024-02,8100.03,67390.5
2024-02,8100.04,47853.56
2024-02,8100.05,90547.14
2024-02,8100.06,36295.03
2024-02,8100.07,30705.97
2024-02,8100.08,24664.73
2024-02,9100.01,6154.37
2024-02,9100.02,1450.76
2024-02,9100.03,2013.24
2024-02,9100.04,839.1
2024-02,9100.05,3424.56
2024-03,5100.01,701830.0
2024-03,5100.02,489984.07
2024-03,5100.03,363733.64
2024-03,5100.04,428621.37
2024-03,5100.05,291879.75
2024-03,5100.06,220371.71
2024-03,5100.07,139440.37
2024-03,5100.08,59302.71
2024-03,5200.01,47999.39
2024-03,5200.02,15618.23
2024-03,5200.03,22715.7
2024-03,5300.01,230431.4
2024-03,5300.02,83443.48
2024-03,5300.03,45686.55
2024-03,5400.01,83459.75
2024-03,5400.02,58748.07
2024-03,5400.03,67450.03
2024-03,5400.04,17925.11
2024-03,6100.01,262683.34
2024-03,6100.02,51498.7
2024-03,6100.03,101611.52
2024-03,6100.04,206318.34
2024-03,6100.05,24721.83
2024-03,6100.06,169623.29
2024-03,6100.07,33364.74
2024-03,7100.01,304871.22
2024-03,7100.02,52726.04
2024-03,7100.03,274533.5
2024-03,7100.04,179553.01
2024-03,7100.05,135132.11
2024-03,7100.06,38417.16
2024-03,7100.07,65966.8
2024-03,7100.08,113009.78
2024-03,7100.09,134466.1
2024-03,7100.10,80602.72
2024-03,8100.01,163511.05
2024-03,8100.02,74123.87
2024-03,8100.03,66832.29
2024-03,8100.04,47440.66
2024-03,8100.05,87934.23
2024-03,8100.06,33559.31
2024-03,8100.07,30917.28
2024-03,8100.08,23224.43
2024-03,9100.01,5345.41
2024-03,9100.02,1314.63
2024-03,9100.03,2015.72
2024-03,9100.04,822.97
2024-03,9100.05,3551.86
2024-04,5100.01,756667.45
2024-04,5100.02,524514.97
2024-04,5100.03,381870.83
2024-04,5100.04,447715.8
2024-04,5100.05,297287.06
2024-04,5100.06,220171.82
2024-04,5100.07,142605.49
2024-04,5100.08,61638.4
2024-04,5200.01,48752.72
2024-04,5200.02,17028.6
2024-04,5200.03,25059.69
2024-04,5300.01,259950.73
2024-04,5300.02,97258.1
2024-04,5300.03,53407.95
2024-04,5400.01,85267.6
2024-04,5400.02,57693.92
2024-04,5400.03,72676.9
2024-04,5400.04,18050.12
2024-04,6100.01,268062.81
2024-04,6100.02,55590.77
2024-04,6100.03,90158.72
2024-04,6100.04,209056.89
2024-04,6100.05,23912.28
2024-04,6100.06,163907.01
2024-04,6100.07,32615.23
2024-04,7100.01,311940.52
2024-04,7100.02,51882.74
2024-04,7100.03,297371.68
2024-04,7100.04,169601.11
2024-04,7100.05,138265.53
2024-04,7100.06,36925.56
2024-04,7100.07,72100.29
2024-04,7100.08,118799.51
2024-04,7100.09,143295.82
2024-04,7100.10,77187.39
2024-04,8100.01,182733.03
2024-04,8100.02,79282.36
2024-04,8100.03,67706.78
2024-04,8100.04,45547.94
2024-04,8100.05,83189.78
2024-04,8100.06,31733.03
2024-04,8100.07,30719.52
2024-04,8100.08,22581.1
2024-04,9100.01,5523.75
2024-04,9100.02,1299.28
2024-04,9100.03,1937.87
2024-04,9100.04,833.94
2024-04,9100.05,3308.06
2024-05,5100.01,725489.51
2024-05,5100.02,528851.24
2024-05,5100.03,375149.56
2024-05,5100.04,444355.6
2024-05,5100.05,285257.36
2024-05,5100.06,223765.29
2024-05,5100.07,149775.74
2024-05,5100.08,62826.96
2024-05,5200.01,47849.39
2024-05,5200.02,16174.02
2024-05,5200.03,24354.08
2024-05,5300.01,252164.36
2024-05,5300.02,96066.8
2024-05,5300.03,53118.29
2024-05,5400.01,85710.09
2024-05,5400.02,60863.47
2024-05,5400.03,70350.54
2024-05,5400.04,18585.67
2024-05,6100.01,269565.57
2024-05,6100.02,55240.67
2024-05,6100.03,97298.74
2024-05,6100.04,214031.21
